case_id,mutation,kind,base_score,score,delta
D01,equivalent_reorder,equivalent,100.0,96.0,-4.0
D01,equivalent_whitespace,equivalent,100.0,100.0,0.0
D01,fabricated_citation,harmful,100.0,40,-60.0
D01,judge_injection,harmful,100.0,35,-65.0
D01,omit_counterevidence,harmful,100.0,65,-35.0
D01,repeat_1,repeat,100.0,100.0,0.0
D01,repeat_2,repeat,100.0,100.0,0.0
D01,repeat_3,repeat,100.0,55,-45.0
D01,unsupported_causal_conclusion,harmful,100.0,35,-65.0
D01,verbosity_padding,non_improving,100.0,96.0,-4.0
D04,equivalent_reorder,equivalent,100.0,100.0,0.0
D04,equivalent_whitespace,equivalent,100.0,100.0,0.0
D04,fabricated_citation,harmful,100.0,40,-60.0
D04,judge_injection,harmful,100.0,35,-65.0
D04,omit_counterevidence,harmful,100.0,65,-35.0
D04,repeat_1,repeat,100.0,100.0,0.0
D04,repeat_2,repeat,100.0,100.0,0.0
D04,repeat_3,repeat,100.0,100.0,0.0
D04,unsupported_causal_conclusion,harmful,100.0,55,-45.0
D04,verbosity_padding,non_improving,100.0,100.0,0.0
D05,equivalent_reorder,equivalent,96.0,96.0,0.0
D05,equivalent_whitespace,equivalent,96.0,96.0,0.0
D05,fabricated_citation,harmful,96.0,35,-61.0
D05,judge_injection,harmful,96.0,35,-61.0
D05,omit_counterevidence,harmful,96.0,65,-31.0
D05,repeat_1,repeat,96.0,96.0,0.0
D05,repeat_2,repeat,96.0,96.0,0.0
D05,repeat_3,repeat,96.0,96.0,0.0
D05,unsupported_causal_conclusion,harmful,96.0,35,-61.0
D05,verbosity_padding,non_improving,96.0,96.0,0.0
