id,split,company,method,human_label,prediction,status,candidate_sha256
financebench_id_00005,development,Corning,holistic_v2,incorrect,refusal,ok,08af333c3c480de7a3963d4aab36e7d239246a09a1f8f575f03f9276f404f01e
financebench_id_00070,development,American Water Works,holistic_v2,incorrect,incorrect,ok,5c80a3cfc9067b4ca00fe8489047d9ad18f0d07f8254489fa3f0d1bdd182e3ec
financebench_id_00005,development,Corning,operational_v3,incorrect,incorrect,ok,08af333c3c480de7a3963d4aab36e7d239246a09a1f8f575f03f9276f404f01e
financebench_id_00005,new_response_validation,Corning,holistic_v2,incorrect,correct,ok,5514f10b4a4c285d9d40c4f78a6edf1f8a999a2bf6e88552f958cdecfb1c8845
financebench_id_00005,new_response_validation,Corning,operational_v3,incorrect,correct,ok,5514f10b4a4c285d9d40c4f78a6edf1f8a999a2bf6e88552f958cdecfb1c8845
financebench_id_00080,development,Paypal,holistic_v2,refusal,refusal,ok,64e75fb20a236628f9d330a3c2108d6c35a4f4875ae6e1db6be1eadb519599f4
financebench_id_00070,development,American Water Works,operational_v3,incorrect,incorrect,ok,5c80a3cfc9067b4ca00fe8489047d9ad18f0d07f8254489fa3f0d1bdd182e3ec
financebench_id_00070,new_response_validation,American Water Works,holistic_v2,incorrect,incorrect,ok,74e3882a21bedb4ff50c0c7d101e745bf1c2f769953ab1e5f56fe5fb1f477fea
financebench_id_00070,new_response_validation,American Water Works,operational_v3,incorrect,incorrect,ok,74e3882a21bedb4ff50c0c7d101e745bf1c2f769953ab1e5f56fe5fb1f477fea
financebench_id_00206,development,JPMorgan,holistic_v2,refusal,correct,ok,5e3d562d75b532af1d032ee72ab918c3a7fcac26104e5d5f260fda939a499db3
financebench_id_00080,development,Paypal,operational_v3,refusal,refusal,ok,64e75fb20a236628f9d330a3c2108d6c35a4f4875ae6e1db6be1eadb519599f4
financebench_id_00080,new_response_validation,Paypal,holistic_v2,correct,correct,ok,4c141f8666dd280c6c7e6c1d87bddd8c22dabc60a3895eb6917f2eecbf9031d7
financebench_id_00080,new_response_validation,Paypal,operational_v3,correct,correct,ok,4c141f8666dd280c6c7e6c1d87bddd8c22dabc60a3895eb6917f2eecbf9031d7
financebench_id_00215,development,Verizon,holistic_v2,correct,correct,ok,43cce23c0df3d545f6c2e25136fffcdee54e316d42c40f0484937b36cdd3d0a2
financebench_id_00206,development,JPMorgan,operational_v3,refusal,correct,ok,5e3d562d75b532af1d032ee72ab918c3a7fcac26104e5d5f260fda939a499db3
financebench_id_00206,new_response_validation,JPMorgan,holistic_v2,correct,correct,ok,d84fa20c1948fb4577b017c4582ff7b787f717e8cf6ca7edad9b9ec83ce9beab
financebench_id_00206,new_response_validation,JPMorgan,operational_v3,correct,correct,ok,d84fa20c1948fb4577b017c4582ff7b787f717e8cf6ca7edad9b9ec83ce9beab
financebench_id_00216,development,Verizon,holistic_v2,refusal,refusal,ok,d8cc105e7cd58564cae29bd1f241f306dcd00386ff4b1cc0ff9f0c1b1b60c221
