experiment,condition,metric,value
equal_call,full_context,mean_score_failure_zero,83.38946666666666
equal_call,counterbrief_first_pass,mean_score_failure_zero,82.6228
equal_call,full_context_revision,mean_score_failure_zero,86.5228
equal_call,counterbrief,mean_score_failure_zero,91.8614
equal_call,full_context,mean_pipeline_tokens,10131.4
equal_call,counterbrief_first_pass,mean_pipeline_tokens,7649.066666666667
equal_call,full_context_revision,mean_pipeline_tokens,15382.666666666666
equal_call,counterbrief,mean_pipeline_tokens,10676.8
external_new_response,holistic_v2,accuracy_percent,78.0
external_new_response,operational_v3,accuracy_percent,90.0
order_reliability,legacy,mean_range,9.166666666666666
order_reliability,anchored,mean_range,2.3333333333333335
native_same_judge,meta24_after,saved_v2,100.0
native_same_judge,meta24_after,final_v5,90.0
native_same_judge,amazon24_after,saved_v2,55
native_same_judge,amazon24_after,final_v5,100.0
native_same_judge,meta24_before,saved_v2,100.0
native_same_judge,meta24_before,final_v5,100.0
native_same_judge,NV01,saved_v2,55
native_same_judge,NV01,final_v5,90.0
native_same_judge,NV02,saved_v2,100.0
native_same_judge,NV02,final_v5,100.0
native_same_judge,NV03,saved_v2,100.0
native_same_judge,NV03,final_v5,100.0
native_same_judge,AP01,saved_v2,97.257
native_same_judge,AP01,final_v5,97.5
native_same_judge,AP02,saved_v2,55
native_same_judge,AP02,final_v5,92.971
native_same_judge,AP03,saved_v2,35
native_same_judge,AP03,final_v5,100.0
native_same_judge,TC01,saved_v2,35
native_same_judge,TC01,final_v5,100.0
native_same_judge,TC02,saved_v2,94.737
native_same_judge,TC02,final_v5,100.0
native_same_judge,TC03,saved_v2,55
native_same_judge,TC03,final_v5,65
